ticker,url
ANV,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=ANV&type=stock&to=1735221600&countBack=1
APC,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=APC&type=stock&to=1735221600&countBack=1
APF,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=APF&type=stock&to=1735221600&countBack=1
APG,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=APG&type=stock&to=1735221600&countBack=1
APH,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=APH&type=stock&to=1735221600&countBack=1
API,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=API&type=stock&to=1735221600&countBack=1
APL,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=APL&type=stock&to=1735221600&countBack=1
APP,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=APP&type=stock&to=1735221600&countBack=1
APS,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=APS&type=stock&to=1735221600&countBack=1
APT,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=APT&type=stock&to=1735221600&countBack=1
ARM,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=ARM&type=stock&to=1735221600&countBack=1
ART,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=ART&type=stock&to=1735221600&countBack=1
ASA,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=ASA&type=stock&to=1735221600&countBack=1
ASG,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=ASG&type=stock&to=1735221600&countBack=1
ASM,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=ASM&type=stock&to=1735221600&countBack=1
ASP,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=ASP&type=stock&to=1735221600&countBack=1
AST,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=AST&type=stock&to=1735221600&countBack=1
ATA,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=ATA&type=stock&to=1735221600&countBack=1
ATB,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=ATB&type=stock&to=1735221600&countBack=1
ATG,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=ATG&type=stock&to=1735221600&countBack=1
ATS,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=ATS&type=stock&to=1735221600&countBack=1
AVC,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=AVC&type=stock&to=1735221600&countBack=1
AVF,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=AVF&type=stock&to=1735221600&countBack=1
B82,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=B82&type=stock&to=1735221600&countBack=1
BAB,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=BAB&type=stock&to=1735221600&countBack=1
BAF,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=BAF&type=stock&to=1735221600&countBack=1
BAL,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=BAL&type=stock&to=1735221600&countBack=1
BAX,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=BAX&type=stock&to=1735221600&countBack=1
BBC,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=BBC&type=stock&to=1735221600&countBack=1
